,time,iraq,barack obama,afghanistan,new york,california,gop,george w bush,wall street,john mccain,supreme court,iran,china,mitt romney,republican party,texas,hillary clinton,israel,middle east,florida,tea party,europe,bill clinton,medicare,sarah palin,washington post,christian,democratic party,russia,pakistan,ohio,vietnam,british,ronald reagan,massachusetts,social security,chicago,arizona,new york city,d c ,reagan,pentagon,virginia,jewish,european,fox news,world war ii,iowa,syria,pennsylvania
1,1/1/2007,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0
2,1/2/2007,11,1,2,3,1,0,0,3,0,0,3,1,0,0,2,0,2,0,2,0,1,1,3,0,0,0,3,0,0,0,2,1,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0
3,1/3/2007,21,0,4,7,1,0,0,2,1,1,2,1,0,0,0,1,2,1,2,0,0,0,2,0,2,10,1,0,0,2,2,3,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0
4,1/4/2007,9,3,2,5,2,1,0,2,0,1,1,0,0,2,3,1,1,0,0,0,0,1,2,0,3,3,2,0,0,1,1,0,0,0,0,1,1,0,0,0,2,2,1,0,2,0,1,0,0
5,1/5/2007,10,0,2,4,0,0,0,1,0,1,2,2,0,0,1,1,2,1,0,0,1,1,0,0,2,1,2,1,0,0,3,2,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
6,1/6/2007,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1/7/2007,13,0,2,4,4,0,0,2,2,0,2,3,0,0,1,0,2,2,0,0,4,0,0,0,1,2,0,1,0,0,7,0,0,1,0,0,1,0,1,1,2,0,0,1,0,1,0,2,0
8,1/8/2007,16,1,1,8,1,1,0,2,1,1,3,0,0,1,0,2,3,4,0,0,1,3,0,0,4,3,1,1,0,0,3,3,0,1,0,0,0,1,2,0,1,3,2,1,1,0,1,1,1
9,1/9/2007,21,0,0,5,1,0,0,2,0,0,2,2,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,2,0,0,3,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0
10,1/10/2007,34,0,2,14,2,0,0,3,2,2,5,0,0,1,0,0,2,4,0,0,7,0,0,0,6,2,0,0,0,0,3,2,0,0,1,2,0,4,1,2,2,0,1,3,2,1,0,2,0
11,1/11/2007,29,2,4,4,3,2,0,0,1,0,9,0,1,0,1,0,3,8,2,0,2,0,0,0,1,1,2,1,1,0,3,1,0,2,1,0,0,1,0,0,0,0,0,1,1,1,2,7,0
12,1/12/2007,24,0,1,10,0,1,0,1,0,1,12,2,0,1,1,1,9,5,0,0,1,0,0,0,2,2,0,0,0,0,4,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,6,0
13,1/13/2007,5,0,0,6,0,0,0,1,0,0,5,0,0,0,0,1,0,2,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
14,1/14/2007,9,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0
15,1/15/2007,17,3,1,4,0,2,0,0,1,4,5,1,0,0,2,1,2,3,1,0,3,2,1,0,1,2,0,1,0,0,4,0,1,0,1,1,0,2,1,2,1,0,1,2,2,1,0,1,0
16,1/16/2007,22,3,1,6,2,2,0,2,0,1,5,0,0,0,2,3,1,4,1,0,5,2,0,0,1,4,1,2,1,0,4,2,1,1,0,0,0,0,1,1,2,2,0,3,3,1,0,0,0
