year,month,iraq,barack obama,afghanistan,new york,california,gop,george w bush,wall street,john mccain,supreme court,iran,china,mitt romney,republican party,texas,hillary clinton,israel,middle east,florida,tea party,europe,bill clinton,medicare,sarah palin,washington post,christian,democratic party,russia,pakistan,ohio,vietnam,british,ronald reagan,massachusetts,social security,chicago,arizona,new york city,d c ,reagan,pentagon,virginia,jewish,european,fox news,world war ii,iowa,syria,pennsylvania
2007,1,433,41,39,144,40,25,0,27,21,24,106,23,4,14,37,47,49,73,12,0,42,23,13,0,44,58,38,18,5,7,74,19,8,11,13,21,5,15,15,28,23,34,11,22,27,15,14,32,4
2007,2,292,50,31,137,45,24,0,15,28,23,117,26,14,14,32,35,36,37,19,0,27,23,11,0,52,54,25,11,13,8,49,27,12,11,5,14,12,5,15,28,27,13,20,15,28,9,22,9,12
2007,3,268,36,29,171,66,31,0,11,19,25,91,15,12,24,23,38,56,42,20,1,34,19,8,0,37,41,32,6,19,7,57,32,5,9,6,19,10,18,15,17,24,9,36,14,36,7,18,7,11
2007,4,313,30,37,164,54,25,0,20,31,44,66,25,12,15,33,28,48,34,31,0,45,13,7,0,46,54,17,16,11,20,55,23,13,15,2,27,5,17,14,42,27,101,35,23,22,12,19,30,9
2007,5,275,19,30,144,46,39,0,18,21,29,46,30,22,24,15,25,35,27,20,0,50,16,9,0,33,65,32,20,10,9,36,25,20,20,5,12,7,21,7,46,20,22,12,27,11,13,10,4,12
2007,6,319,41,37,174,49,34,0,24,23,51,134,33,20,26,22,45,95,64,16,0,70,27,17,0,34,34,25,27,30,14,41,43,15,16,8,19,14,18,26,40,28,16,17,33,14,18,13,25,15
2007,7,284,24,38,143,42,26,1,20,15,45,92,32,10,23,26,38,64,47,19,0,60,17,8,0,46,30,19,25,38,10,49,28,11,14,6,19,7,5,27,29,26,33,10,29,8,13,24,14,15
2007,8,331,43,43,193,55,41,1,26,20,39,100,40,27,32,54,61,57,44,30,0,52,31,15,0,44,38,26,16,53,19,102,29,10,13,7,39,5,20,15,31,30,16,31,35,16,15,43,17,10
2007,9,443,55,46,207,77,53,2,21,37,34,204,39,26,26,38,65,96,74,38,1,52,24,12,0,50,47,41,20,22,10,72,36,17,15,6,27,7,19,19,49,37,14,18,23,27,20,32,33,10
2007,10,367,75,64,246,101,52,4,32,35,52,238,61,45,33,30,101,140,72,49,0,82,29,14,0,41,105,22,50,44,16,44,36,28,20,6,29,19,27,22,59,34,23,40,37,23,38,88,45,17
2007,11,275,90,69,208,63,38,2,28,35,61,179,47,36,24,37,111,111,66,23,3,66,35,9,0,58,61,55,22,126,17,40,20,18,18,21,23,16,21,16,42,27,25,25,40,17,24,162,20,15
2007,12,278,87,74,203,70,50,3,24,33,59,196,46,66,25,35,120,83,61,44,3,65,62,13,0,53,107,32,33,128,12,41,27,30,21,21,28,7,18,28,55,12,30,34,32,9,31,184,22,13
2008,1,317,285,66,286,113,68,0,47,122,58,147,48,89,40,44,273,91,68,115,2,63,145,15,0,42,102,97,31,122,32,63,33,45,27,16,60,29,31,25,112,31,28,34,28,25,27,327,19,20
2008,2,271,320,55,274,137,58,0,38,218,48,91,45,46,44,169,291,99,61,99,0,58,114,20,0,39,68,115,27,79,99,62,23,29,63,18,69,43,24,26,77,23,55,25,26,27,21,67,9,55
2008,3,441,327,78,357,79,57,0,46,219,47,139,64,14,37,149,282,97,78,126,0,70,117,18,0,63,97,123,31,51,156,87,33,24,27,17,79,38,23,32,70,39,45,38,43,24,23,43,20,127
