word,frequency,category
iraq,14312,location
barack obama,13827,person
afghanistan,8473,location
new york,7850,location
new york times,7127,organization
california,7009,location
gop,6700,location
george w bush,6529,source
wall street,6403,location
john mccain,6367,person
supreme court,6228,organization
iran,6066,location
china,5376,location
mitt romney,5226,person
republican party,4939,organization
texas,4932,location
hillary clinton,4839,person
israel,4778,location
middle east,4761,location
florida,4689,location
tea party,4136,organization
europe,4118,location
bill clinton,4071,person
medicare,3938,miscellaneous
sarah palin,3880,person
washington post,3773,organization
christian,3771,miscellaneous
democratic party,3527,organization
russia,3443,location
pakistan,3313,location
ohio,3264,location
vietnam,3220,location
british,3101,miscellaneous
ronald reagan,3069,person
massachusetts,3062,location
social security,3051,organization
chicago,3046,location
arizona,3022,location
new york city,2909,location
d.c.,2898,location
reagan,2867,miscellaneous
pentagon,2835,location
virginia,2817,location
jewish,2706,miscellaneous
european,2698,miscellaneous
fox news,2698,organization
world war ii,2691,miscellaneous
iowa,2663,location
syria,2650,location
pennsylvania,2629,location
