time,american,australia,british,australian,iraq,united kingdom,china,canada,uk,france,london,russia,europe,germany,england,french,afghanistan,israel,new york,united nations,washington,japan,wikinews,iran,california,america,chinese,bush,india,barack obama,white house,new zealand,german,iraqi,european,americans,european union,britain,george w bush,utc,bbc,english,pakistan,israeli,internet,senate,spain,reuters,italy,associated press
11/13/2004,0,0,0,0,0,0,1,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11/14/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
11/15/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
11/16/2004,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0
11/17/2004,2,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,2,0,5,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11/18/2004,0,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0
11/19/2004,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11/20/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
11/21/2004,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/22/2004,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
11/23/2004,1,4,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
11/24/2004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/25/2004,0,0,1,0,0,0,0,0,8,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/29/2004,1,1,1,0,2,0,1,1,4,0,0,0,4,1,0,0,0,0,1,0,2,1,0,0,0,2,2,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
11/30/2004,3,2,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12/2/2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12/4/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
12/6/2004,0,0,0,0,1,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2004,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/9/2004,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
