american,australia,british,australian,iraq,united.kingdom,china,canada,uk,france,london,russia,europe,germany,england,french,afghanistan,israel,new.york,united.nations,washington,japan,wikinews,iran,california,america,chinese,bush,india,barack.obama,white.house,new.zealand,german,iraqi,european,americans,european.union,britain,george.w.bush,utc,bbc,english,pakistan,israeli,internet,senate,spain,reuters,italy,associated.press
228,280,132,150,147,76,109,83,171,86,61,41,173,53,40,45,47,162,125,93,87,72,112,108,48,340,56,127,102,51,48,50,92,60,104,40,38,41,1,41,71,36,63,73,53,53,22,31,19,33
196,233,124,120,124,63,60,72,127,75,55,64,179,41,47,55,42,95,106,60,52,57,99,64,51,277,28,91,80,31,40,36,90,53,121,40,37,32,1,40,59,39,53,44,56,62,45,22,34,21
229,340,134,181,148,95,71,93,218,91,63,90,190,56,49,65,41,67,125,65,69,111,165,79,53,321,54,91,121,34,34,53,95,62,110,46,31,47,0,65,70,46,62,22,60,44,40,30,28,45
190,220,122,121,158,64,90,73,155,79,59,61,171,32,31,71,45,64,85,64,70,67,91,107,52,289,58,90,95,37,47,53,75,70,104,41,38,30,0,56,59,45,39,26,61,48,23,37,34,40
151,294,122,159,126,95,61,67,165,74,94,88,227,38,47,64,50,85,91,71,62,46,70,88,73,217,39,83,109,31,42,48,75,49,140,21,45,35,2,59,54,45,65,33,44,44,34,28,21,27
178,324,126,178,99,81,72,81,183,120,76,69,179,85,61,60,33,68,83,63,65,105,60,116,65,268,31,84,67,29,34,40,128,33,118,38,43,46,0,51,57,40,21,29,37,61,41,30,46,42
172,179,143,94,111,74,53,69,136,97,130,49,171,55,53,50,40,161,72,48,48,73,65,70,61,250,45,91,97,24,29,42,102,49,117,28,34,58,1,55,71,34,45,68,22,35,29,41,35,38
173,217,127,119,102,51,64,72,147,61,102,88,94,40,67,42,52,121,87,57,44,59,63,54,40,235,37,84,102,43,25,50,83,35,55,26,14,37,0,54,52,28,66,66,19,37,28,33,25,34
185,252,104,128,89,60,68,91,148,49,112,58,102,60,74,39,50,55,103,54,61,81,78,62,48,264,51,76,105,26,23,54,109,31,67,34,20,52,1,48,46,40,65,24,51,50,21,16,24,21
141,136,91,74,127,49,71,70,127,58,41,45,109,34,31,32,45,50,125,77,44,57,86,74,46,212,38,81,106,27,31,26,54,50,75,29,27,28,0,50,61,30,78,22,30,54,15,18,23,17
170,246,113,128,105,65,75,78,140,77,61,46,162,50,42,51,55,95,88,55,53,70,83,57,48,269,58,94,112,33,28,94,80,31,99,32,32,31,1,38,57,47,52,51,45,45,31,19,24,20
158,304,112,167,126,51,73,88,148,50,61,49,172,34,43,45,33,78,72,73,69,58,88,69,39,227,38,78,81,36,36,63,79,51,109,35,42,40,0,41,48,30,68,37,43,65,25,28,24,21
