word,frequency,category
american,1103,miscellaneous
australia,1035,location
british,1012,miscellaneous
australian,814,miscellaneous
iraq,772,location
united kingdom,759,location
china,681,location
canada,653,location
uk,623,location
france,610,location
london,610,location
russia,533,location
europe,526,location
germany,521,location
england,491,location
french,487,miscellaneous
afghanistan,481,location
israel,474,location
new york,473,location
united nations,472,organization
washington,471,location
japan,456,location
wikinews,452,organization
iran,451,location
california,429,location
america,420,location
chinese,419,miscellaneous
bush,416,miscellaneous
india,411,location
barack obama,393,person
white house,387,location
new zealand,385,location
german,377,miscellaneous
iraqi,374,miscellaneous
european,373,miscellaneous
americans,370,miscellaneous
european union,367,organization
britain,366,location
george w bush,366,source
utc,360,miscellaneous
bbc,357,organization
english,353,miscellaneous
pakistan,335,location
israeli,332,miscellaneous
internet,318,miscellaneous
senate,318,organization
spain,317,location
reuters,316,organization
italy,301,location
associated press,278,organization
