word,freq
new,2748
united,2187
the,1988
party,1889
national,1881
american,1653
john,1563
south,1528
world,1499
british,1436
australian,1422
and,1396
australia,1396
university,1366
international,1340
house,1209
york,1184
european,1169
wikinews,1051
bush,1041
north,1038
david,983
america,956
city,945
canada,917
department,910
union,907
london,890
council,876
iraq,875
state,875
kingdom,857
court,853
george,850
nations,844
china,841
news,835
democratic,814
france,765
obama,752
washington,719
michael,707
bbc,704
europe,704
center,690
committee,677
west,668
east,663
paul,648
for,643
security,630
california,609
africa,605
senate,595
war,585
air,584
england,584
white,582
germany,577
french,575
india,573
ministry,565
russia,565
zealand,560
press,555
israel,554
republic,549
iran,546
japan,546
category,540
times,530
police,529
afghanistan,528
association,525
robert,520
peter,516
chinese,515
internet,511
act,507
islamic,498
county,492
cup,488
commission,484
african,482
britain,477
mark,469
agency,465
iraqi,461
space,460
james,458
pakistan,456
korea,451
park,448
justice,445
office,440
royal,432
army,428
central,428
german,421
english,419
federal,417
red,416
service,415
airport,413
barack,413
sydney,410
government,409
brown,408
general,408
americans,406
olympic,406
indian,401
force,398
group,395
san,394
tony,394
street,393
health,392
congress,390
institute,390
howard,388
day,386
wales,380
bill,378
western,378
taiwan,376
bank,371
foreign,371
associated,370
israeli,365
utc,361
school,358
hospital,356
mexico,355
foundation,353
rights,353
richard,351
spain,349
texas,349
martin,348
states,348
usa,347
people,344
affairs,341
church,339
florida,337
league,336
liberal,336
supreme,333
ireland,332
reuters,331
clinton,329
grand,328
italy,328
smith,326
palestinian,324
green,320
high,320
gaza,319
human,316
president,316
games,313
ali,307
los,304
christian,301
centre,300
taipei,300
chris,299
northern,294
middle,292
mike,292
steve,290
republican,289
wikipedia,288
bob,287
muslim,286
william,286
italian,285
japanese,285
iranian,284
tom,284
asia,281
stephen,281
blair,280
daily,278
indonesia,277
assembly,276
scott,276
king,274
korean,272
pacific,272
hall,271
canadian,270
spanish,269
radio,268
brazil,264
virginia,263
angeles,261
coast,261
toronto,261
defense,260
